codigo_proyecto;codigo_recurso;año;trimestre;unidad_medida;tipo_contraprestacion;valor_contraprestacion;cantidad_producida
1;2;2023;1;METROS CUBICOS;REGALIAS;96925;0
1;2;2023;2;METROS CUBICOS;REGALIAS;734;0
1;4;2023;1;METROS CUBICOS;REGALIAS;39055;0
1;4;2023;2;METROS CUBICOS;REGALIAS;46008;0
1;5;2023;1;GRAMOS;REGALIAS;48263;55
1;5;2023;1;GRAMOS;REGALIAS;998916;110
1;5;2023;1;GRAMOS;REGALIAS;1783030;194
1;5;2023;2;GRAMOS;REGALIAS;607554;65
1;6;2023;1;GRAMOS;REGALIAS;579;5
1;6;2023;1;GRAMOS;REGALIAS;2247;20
1;6;2023;1;GRAMOS;REGALIAS;4539;41
1;6;2023;2;GRAMOS;REGALIAS;101;9
1;2;2023;1;METROS CUBICOS;REGALIAS;6156039;21607
1;4;2023;1;METROS CUBICOS;REGALIAS;46537585;173725
1;4;2023;2;METROS CUBICOS;REGALIAS;36349613;120136
1;5;2023;1;GRAMOS;REGALIAS;7105442;534
1;5;2023;2;GRAMOS;REGALIAS;15067108;1078
1;6;2023;1;GRAMOS;REGALIAS;11795;103
1;6;2023;2;GRAMOS;REGALIAS;23164;200
1;2;2023;2;METROS CUBICOS;REGALIAS;583308;1806
1;4;2023;2;METROS CUBICOS;REGALIAS;17979;59
1;5;2023;1;GRAMOS;REGALIAS;24237858;2771
1;5;2023;1;GRAMOS;REGALIAS;11100875;1258
1;5;2023;1;GRAMOS;REGALIAS;18437842;2002
1;5;2023;2;GRAMOS;REGALIAS;6404290;699
1;5;2023;2;GRAMOS;REGALIAS;6782986;724
1;5;2023;2;GRAMOS;REGALIAS;38740878;4159
1;6;2023;2;GRAMOS;REGALIAS;1352;12
1;11;2023;1;TONELADAS;REGALIAS;2715;1
1;1;2023;1;TONELADAS;REGALIAS;681476;2063
1;1;2023;2;TONELADAS;REGALIAS;835743;2979
1;2;2023;1;METROS CUBICOS;REGALIAS;429304;1547
1;3;2023;1;METROS CUBICOS;REGALIAS;203503;168
1;4;2023;1;METROS CUBICOS;REGALIAS;928429;356
1;2;2023;2;METROS CUBICOS;REGALIAS;378223;1078
1;4;2023;2;METROS CUBICOS;REGALIAS;3785317;11957
1;5;2023;2;GRAMOS;REGALIAS;4335642;462
1;5;2023;2;GRAMOS;REGALIAS;8016688;859
1;6;2023;2;GRAMOS;REGALIAS;6518;61
1;6;2023;2;GRAMOS;REGALIAS;10106;90
1;17;2023;1;TONELADAS;REGALIAS;461;3
1;2;2023;1;METROS CUBICOS;REGALIAS;11596;0
1;3;2023;1;METROS CUBICOS;REGALIAS;5497;0
1;4;2023;1;METROS CUBICOS;REGALIAS;25077;0
1;5;2023;2;GRAMOS;REGALIAS;3572603;384
1;18;2023;1;TONELADAS;REGALIAS;520883;152
1;2;2023;1;METROS CUBICOS;REGALIAS;1409709;4948
1;2;2023;2;METROS CUBICOS;REGALIAS;2441467;7587
1;4;2023;1;METROS CUBICOS;REGALIAS;11928501;44531
1;4;2023;2;METROS CUBICOS;REGALIAS;20658861;6828
1;5;2023;1;GRAMOS;REGALIAS;352019;40
1;5;2023;1;GRAMOS;REGALIAS;523823;57
1;6;2023;1;GRAMOS;REGALIAS;239;2
1;6;2023;1;GRAMOS;REGALIAS;682;6
1;5;2023;1;GRAMOS;REGALIAS;3047231;348
1;5;2023;1;GRAMOS;REGALIAS;14740834;1761
1;5;2023;2;GRAMOS;REGALIAS;90622712;998
1;5;2023;2;GRAMOS;REGALIAS;62407568;6665
1;6;2023;1;GRAMOS;REGALIAS;1954;18
1;6;2023;1;GRAMOS;REGALIAS;15132;152
1;6;2023;2;GRAMOS;REGALIAS;148708;1313
1;6;2023;2;GRAMOS;REGALIAS;7928;735
1;5;2023;1;GRAMOS;REGALIAS;247777493;28276
1;5;2023;1;GRAMOS;REGALIAS;239398392;26997
1;5;2023;1;GRAMOS;REGALIAS;138609075;15206
1;5;2023;2;GRAMOS;REGALIAS;253057541;27381
1;5;2023;2;GRAMOS;REGALIAS;319202401;34235
1;5;2023;2;GRAMOS;REGALIAS;283323840;30411
1;6;2023;1;GRAMOS;REGALIAS;7558390;70761
1;6;2023;1;GRAMOS;REGALIAS;10925615;95143
1;6;2023;1;GRAMOS;REGALIAS;133962;1185
1;6;2023;2;GRAMOS;REGALIAS;6220705;5701
1;6;2023;2;GRAMOS;REGALIAS;17354019;154173
1;6;2023;2;GRAMOS;REGALIAS;5292740;4593
1;9;2023;1;TONELADAS;REGALIAS;4828798;47599
1;9;2023;2;TONELADAS;REGALIAS;1693137;14776
1;2;2023;2;METROS CUBICOS;REGALIAS;107;0
1;3;2023;2;METROS CUBICOS;REGALIAS;335;0
1;5;2023;1;GRAMOS;REGALIAS;47333545;5347
1;5;2023;1;GRAMOS;REGALIAS;109913161;12076
1;5;2023;1;GRAMOS;REGALIAS;122539913;13355
1;5;2023;2;GRAMOS;REGALIAS;142932606;153
1;5;2023;2;GRAMOS;REGALIAS;157478352;16895
1;5;2023;2;GRAMOS;REGALIAS;1904688;205
1;6;2023;1;GRAMOS;REGALIAS;68981;602
1;6;2023;1;GRAMOS;REGALIAS;127596;1109
1;6;2023;1;GRAMOS;REGALIAS;130787;1181
1;6;2023;2;GRAMOS;REGALIAS;90036;837
1;9;2023;1;TONELADAS;REGALIAS;6789646;66928
1;9;2023;2;TONELADAS;REGALIAS;5757992;50251
1;19;2023;1;TONELADAS;REGALIAS;22975165;81886
1;19;2023;2;TONELADAS;REGALIAS;21881310;77988
1;13;2023;2;METROS CUBICOS;REGALIAS;49559;177
1;10;2023;1;TONELADAS;REGALIAS;17430100;15214
1;20;2023;1;KILOGRAMOS;REGALIAS;87332581;5858479
1;20;2023;2;KILOGRAMOS;REGALIAS;44818860;1249478
1;21;2023;1;KILOGRAMOS;REGALIAS;54975453;3687885
1;21;2023;2;KILOGRAMOS;REGALIAS;33169428;2225085
1;5;2023;1;GRAMOS;REGALIAS;1858572384;290187
1;5;2023;1;GRAMOS;REGALIAS;1546261314;264671
1;5;2023;1;GRAMOS;REGALIAS;1917307641;22388
1;5;2023;2;GRAMOS;REGALIAS;2950066598;331602
1;5;2023;2;GRAMOS;REGALIAS;3324158001;374168
1;5;2023;2;GRAMOS;REGALIAS;1575578262;18415
1;6;2023;1;GRAMOS;REGALIAS;8705773;231877
1;6;2023;1;GRAMOS;REGALIAS;8246351;228128
1;6;2023;1;GRAMOS;REGALIAS;10495259;216183
1;6;2023;2;GRAMOS;REGALIAS;17852012;16825
1;6;2023;2;GRAMOS;REGALIAS;16119054;290964
1;6;2023;2;GRAMOS;REGALIAS;8725939;93387
1;3;2023;1;METROS CUBICOS;REGALIAS;41614;338
1;3;2023;2;METROS CUBICOS;REGALIAS;36804;265
1;4;2023;1;METROS CUBICOS;REGALIAS;6119790;23113
1;4;2023;2;METROS CUBICOS;REGALIAS;6602180;22076
1;2;2023;1;METROS CUBICOS;REGALIAS;4810589;16884
1;2;2023;2;METROS CUBICOS;REGALIAS;8597123;26715
1;4;2023;1;METROS CUBICOS;REGALIAS;1072;400
1;2;2023;1;METROS CUBICOS;REGALIAS;119942;0
1;2;2023;2;METROS CUBICOS;REGALIAS;7873;0
1;4;2023;1;METROS CUBICOS;REGALIAS;94921;0
1;4;2023;2;METROS CUBICOS;REGALIAS;60604;0
1;9;2023;1;TONELADAS;REGALIAS;89385;850
1;9;2023;2;TONELADAS;REGALIAS;13915575;121443
1;9;2023;1;TONELADAS;REGALIAS;7264180;71606
1;10;2023;2;TONELADAS;REGALIAS;23586387;18227
1;5;2023;1;GRAMOS;REGALIAS;12781912;164
1;5;2023;1;GRAMOS;REGALIAS;8369202;1028
1;6;2023;1;GRAMOS;REGALIAS;28528;320
1;6;2023;1;GRAMOS;REGALIAS;20453;214
1;5;2023;1;GRAMOS;REGALIAS;37202375;4254
1;5;2023;1;GRAMOS;REGALIAS;31211012;3509
1;5;2023;1;GRAMOS;REGALIAS;45153394;4902
1;5;2023;2;GRAMOS;REGALIAS;26854454;2885
1;5;2023;2;GRAMOS;REGALIAS;20391444;2179
1;5;2023;2;GRAMOS;REGALIAS;32067631;3446
1;6;2023;1;GRAMOS;REGALIAS;693426;6521
1;6;2023;1;GRAMOS;REGALIAS;456605;3968
1;6;2023;1;GRAMOS;REGALIAS;823632;7158
1;6;2023;2;GRAMOS;REGALIAS;197455;1805
1;6;2023;2;GRAMOS;REGALIAS;187112;1752
1;6;2023;2;GRAMOS;REGALIAS;98144;847
1;16;2023;1;TONELADAS;REGALIAS;2492752;18484
1;5;2023;1;GRAMOS;REGALIAS;19745005;2253
1;5;2023;1;GRAMOS;REGALIAS;5270639;595
1;5;2023;1;GRAMOS;REGALIAS;14344804;1561
1;5;2023;2;GRAMOS;REGALIAS;20150814;2204
1;5;2023;2;GRAMOS;REGALIAS;16657092;1777
1;5;2023;2;GRAMOS;REGALIAS;12777168;1372
1;6;2023;1;GRAMOS;REGALIAS;86526;8085
1;6;2023;1;GRAMOS;REGALIAS;43268;376
1;6;2023;1;GRAMOS;REGALIAS;64682;562
